UBIGEO,DISTRITO,PROVINCIA,DEPARTAMENTO,NOMBRE LOCAL,INSTALACION DEPORTIVA,TIPO INSTALACION,TIPO AP,ESPACIOS DEPORTIVOS,DISCIPLINAS DEPORTIVAS,FUNCIONAMIENTO,PLANIFICADA PARA INTERVENCIÓN,COORDENADAS X,COORDENADAS Y,INFRAESTRUCTURA INADECUADA,PROBLEMAS ESTRUCTURALES,RIESGO COLAPSO,NO CORRESPONDE A MANTENIMIENTO,ESPACIOS DEPORTIVOS INSUFICIENTES/INADECUADOS,REQUIERE REEMPLAZO,EDIFICACIÓN INADECUADA,CONSERVACIÓN BLOQUE,SITUACION ESPACIOS DEPORTIVOS,SITUACION ESPACIOS COMPLEMENTARIOS,COMENTARIOS INSTALACIONES DEPORTIVAS,CONDICIÓN BIEN,ADM,NOMBRE PREDIO,TIPO BIEN,USO GENERICO,USO ESPECIFICO,DIRECCION,AREA M2,TIPO DOCUMENTO REGISTRAL,NÚMERO DOCUMENTO REGISTRAL,CONDICION SANEAMIENTO,TIPO CARGAS,ADM,NOMBRE INFRAESTRUCTURA,DIRECCION,SANEADO,CODIGO CONTRIBUYENTE,PARTIDA ELECTRONICA,AREA M2,NOMBRE PROPIETARIO,RESPONSABLE,CONDICION USO,CERTIFICADO ITSE,SITUACIÓN LEGAL DEL PREDIO,CONVENIOS,UCOM,GEOLOCALIZACION,DIRECCION,NOMBRE EDIFICACION,PRIORIZADA,TIPO,RESPONSABLE,ESPECIALIDAD,NRO APOYO,ÁREA,ITSE,FECHA LIMITE,PROGRAMA LA ACADEMIA,ESPECTADORES,DEPORTES,ESTADO INFRAESTRUCTURA,MTTO,OBSERVACIONES,DIAGNOSTICO,ANIO,PROY.,CODIGO ÚNICO IDEA,SNIP
140106,LA VICTORIA,LIMA,LIMA,PISCINA MATUTE,INSTALACION DEPORTIVA Y/O RECREATIVA,PISCINA,PISCINA,PISCINA OLIMPICA,NATACION,SI,,"-77,023131","-12,071653",NO,SI,NO,NO,SI,NO,NO,INADECUADO,PRESENCIA DE FISURAS EN 70% DEL FONDO DE LOSA DE LA PISCINA,"ZONAS ADMINISTRATIVAS, CAMERINOS Y BAÑOS EN ESTADO REGULAR",,PROPIO / CON ADMINISTRACION GRATUITA,PREDIOS QUE ADMINISTRA EL IPD A NIVEL NACIONAL,PISCINA MATUTE (*),EDIFICIO COMPLETO / OTRAS EDIFICACIONES COMPLETAS,AREA DEPORTIVA,PISCINA,UNIDAD VECINAL DE MATUTE,4193.26,PARTIDA ELECTRONICA,11757306,SI,AFECTACION EN USO,,,,,,,,,,,,,,,,JR. FRANCIA S/N - UNIDAD VECINAL DE MATUTE,PISCINA MATUTE,NO,LIMA METROPOLITANA,ALESSANDRA LOPEZ,INGENIERA CIVIL,02UM,,SIN ITSE,,,,,,,,NO HAY DIAGNOSTICO,,NO HAY PROYECTO,,
150113,JESÚS MARIA,LIMA,LIMA,PISCINA MATUTE,INSTALACION DEPORTIVA Y/O RECREATIVA,PISCINA,PISCINA,PISCINA OLIMPICA,NATACION,SI,,"-77,023131","-12,071653",NO,SI,NO,NO,SI,NO,NO,INADECUADO,PRESENCIA DE FISURAS EN 70% DEL FONDO DE LOSA DE LA PISCINA,"ZONAS ADMINISTRATIVAS, CAMERINOS Y BAÑOS EN ESTADO REGULAR",,PROPIO,PREDIOS QUE ADMINISTRA EL IPD A NIVEL NACIONAL,PISCINA CAMPO DE MARTE,EDIFICIO COMPLETO / OTRAS EDIFICACIONES COMPLETAS,AREA DEPORTIVA,PISCINA,JR. NAZCA,21524.19,PARTIDA ELECTRONICA,11984841,SI,NO TIENE,,,,,,,,,,,,,,,,JR. FRANCIA S/N - UNIDAD VECINAL DE MATUTE,PISCINA MATUTE,NO,LIMA METROPOLITANA,ALESSANDRA LOPEZ,INGENIERA CIVIL,02UM,,SIN ITSE,,,,,,,,NO HAY DIAGNOSTICO,,NO HAY PROYECTO,,
140106,LA VICTORIA,LIMA,LIMA,PISCINA MATUTE,INSTALACION DEPORTIVA Y/O RECREATIVA,COMPLEJO DEPORTIVO RECREATIVO,COMPLEJO DEPORTIVO RECREATIVO,"CAMPO MENOR DE VOLEIBOL

SALA DE PRACTICA DEPORTIVA DE LUCHA LIBRE, KARATE (SALA FEDERATIVA)","VOLEIBOL

LUCHA LIBRE, KARATE",SI,,"-77,023131","-12,071653",NO,SI,NO,NO,SI,NO,NO,INADECUADO,PRESENCIA DE GRIETAS DE EXPANSION EN LOSAS DE PAÑOS DE LOSA DE CANCHA SINTETICA DE VOLEY Y EN PAÑOS DE LOSAS COLINDANTES,"ZONAS ADMINISTRATIVAS, CAMERINOS Y BAÑOS EN ESTADO REGULAR",PUEDE UTILIZARSE PARA MULTIPLES DISCIPLINAS DEPORTIVAS,PROPIO / CON ADMINISTRACION GRATUITA,PREDIOS QUE ADMINISTRA EL IPD A NIVEL NACIONAL,PISCINA MATUTE (*),EDIFICIO COMPLETO / OTRAS EDIFICACIONES COMPLETAS,AREA DEPORTIVA,PISCINA,UNIDAD VECINAL DE MATUTE,4193.26,PARTIDA ELECTRONICA,11757306,SI,AFECTACION EN USO,,,,,,,,,,,,,,,,JR. FRANCIA S/N - UNIDAD VECINAL DE MATUTE,PISCINA MATUTE,NO,LIMA METROPOLITANA,ALESSANDRA LOPEZ,INGENIERA CIVIL,02UM,,SIN ITSE,,,,,,,,NO HAY DIAGNOSTICO,,NO HAY PROYECTO,,
150113,JESÚS MARIA,LIMA,LIMA,PISCINA MATUTE,INSTALACION DEPORTIVA Y/O RECREATIVA,COMPLEJO DEPORTIVO RECREATIVO,COMPLEJO DEPORTIVO RECREATIVO,"CAMPO MENOR DE VOLEIBOL

SALA DE PRACTICA DEPORTIVA DE LUCHA LIBRE, KARATE (SALA FEDERATIVA)","VOLEIBOL

LUCHA LIBRE, KARATE",SI,,"-77,023131","-12,071653",NO,SI,NO,NO,SI,NO,NO,INADECUADO,PRESENCIA DE GRIETAS DE EXPANSION EN LOSAS DE PAÑOS DE LOSA DE CANCHA SINTETICA DE VOLEY Y EN PAÑOS DE LOSAS COLINDANTES,"ZONAS ADMINISTRATIVAS, CAMERINOS Y BAÑOS EN ESTADO REGULAR",PUEDE UTILIZARSE PARA MULTIPLES DISCIPLINAS DEPORTIVAS,PROPIO,PREDIOS QUE ADMINISTRA EL IPD A NIVEL NACIONAL,PISCINA CAMPO DE MARTE,EDIFICIO COMPLETO / OTRAS EDIFICACIONES COMPLETAS,AREA DEPORTIVA,PISCINA,JR. NAZCA,21524.19,PARTIDA ELECTRONICA,11984841,SI,NO TIENE,,,,,,,,,,,,,,,,JR. FRANCIA S/N - UNIDAD VECINAL DE MATUTE,PISCINA MATUTE,NO,LIMA METROPOLITANA,ALESSANDRA LOPEZ,INGENIERA CIVIL,02UM,,SIN ITSE,,,,,,,,NO HAY DIAGNOSTICO,,NO HAY PROYECTO,,
150117,LOS OLIVOS,LIMA,LIMA,MINICOMPLEJO DEPORTIVO LOS OLIVOS,INSTALACION DEPORTIVA Y/O RECREATIVA,COMPLEJO DEPORTIVO RECREATIVO,COMPLEJO DEPORTIVO RECREATIVO,"CAMPO MENOR DE FULBITO, CAMPO MENOR DE BASQUETBOL, CAMPO MENOR DE VOLEIBOL, PISTA DE ATLETISMO","FULBITO, BASQUETBOL, VOLEIBOL, ATLETISMO",SI,,"-77,08116046","-11,97320826",NO,NO,NO,NO,NO,NO,NO,ADECUADO,CAMPO DEPORTIVO EN BUEN ESTADO,"ZONAS ADMINISTRATIVAS, CAMERINOS Y BAÑOS EN ESTADO REGULAR",PISTA DE ATLETISMO DE CONCRETO DE 3 CARRILES,CON ADMINISTRACION GRATUITA,PREDIOS QUE ADMINISTRA EL IPD A NIVEL NACIONAL,MINICOMPLEJO DEPORTIVO LOS OLIVOS,EDIFICIO COMPLETO / OTRAS EDIFICACIONES COMPLETAS,AREA DEPORTIVA,MINICOMPLEJO,"CALLE 18, LAS FLORES CON AV. HUANDOY S/N, URB. LOS NARANJOS III ETAPA",1.567.439,PARTIDA ELECTRONICA,P01284176,SI,AFECTACION EN USO,,,,,,,,,,,,,,,,"CALLE 31, CALLE LAS FLORES CON AV. LOS PROCERES DE HUANDOY S/N, URB. LOS NARANJOS III ETAPA",MINICOMPLEJO DEPORTIVO LOS OLIVOS,NO,LIMA METROPOLITANA,ALESSANDRA LOPEZ,INGENIERA CIVIL,02UM,,SIN ITSE,,,,,,,,NO HAY DIAGNOSTICO,,NO HAY PROYECTO,,
150132,SAN JUAN DE LURIGANCHO,LIMA,LIMA,CLUB DEL PUEBLO CANTO GRANDE,INSTALACION DEPORTIVA Y/O RECREATIVA,COMPLEJO DEPORTIVO RECREATIVO,COMPLEJO DEPORTIVO RECREATIVO,"CAMPO DEPORTIVO DE FUTBOL, PISTA DE ATLETISMO, CAMPO MENOR DE BASQUETBOL, 2 CAMPOS MENORES DE FULBITO, CAMPO MENOR DE VOLEIBOL,  CAMPO MENOR DE TENIS DE CAMPO","FUTBOL, ATLETISMO, BASQUETBOL, FULBITO, VOLEIBOL, TENIS DE CAMPO",SI,,"-76,98926011","-11,95603788",NO,NO,NO,NO,NO,NO,NO,ADECUADO,CAMPOS DEPORTIVOS EN BUEN ESTADO,"ZONAS ADMINISTRATIVAS, CAMERINOS Y BAÑOS EN ESTADO REGULAR",-,CON ADMINISTRACION GRATUITA,PREDIOS QUE ADMINISTRA EL IPD A NIVEL NACIONAL,CLUB DEL PUEBLO CANTO GRANDE (*),EDIFICIO COMPLETO / OTRAS EDIFICACIONES COMPLETAS,AREA DEPORTIVA,CLUB DEL PUEBLO,AV. WISSE Y AV. BAYOVAR,52118.08 (140782.18),PARTIDA ELECTRONICA,43160850,SI,AFECTACION EN USO,,,,,,,,,,,,,,,,AV. BAYOVAR - AV. WISSE S/N-SECTOR 2 CIUDAD MARISCAL CACERES,CLUB DEL PUEBLO CANTO GRANDE,NO,LIMA METROPOLITANA,JUAN CARLOS CHINEN,ARQUITECTO,07UM,45.102,SIN ITSE,,,1000,"FUTBOL, ATLETISMO, BASKET, VOLEY, FUTSAL, TENIS DE CAMPO, NATACION","OPERATIVO, EN USO. CAMPOS DEPORTIVOS EN BUEN ESTADO. PISCINA EN BUEN ESTADO.",,"ZONAS ADMINISTRATIVAS, CAMERINOS Y BAÑOS EN ESTADO REGULAR",NO HAY DIAGNOSTICO,,NO HAY PROYECTO,-,-
150132,SAN JUAN DE LURIGANCHO,LIMA,LIMA,CLUB DEL PUEBLO CANTO GRANDE,INSTALACION DEPORTIVA Y/O RECREATIVA,COMPLEJO DEPORTIVO RECREATIVO,COMPLEJO DEPORTIVO RECREATIVO,"CAMPO DEPORTIVO DE FUTBOL, PISTA DE ATLETISMO, CAMPO MENOR DE BASQUETBOL, 2 CAMPOS MENORES DE FULBITO, CAMPO MENOR DE VOLEIBOL,  CAMPO MENOR DE TENIS DE CAMPO","FUTBOL, ATLETISMO, BASQUETBOL, FULBITO, VOLEIBOL, TENIS DE CAMPO",SI,,"-76,98926011","-11,95603788",NO,NO,NO,NO,NO,NO,NO,ADECUADO,CAMPOS DEPORTIVOS EN BUEN ESTADO,"ZONAS ADMINISTRATIVAS, CAMERINOS Y BAÑOS EN ESTADO REGULAR",-,CON ADMINISTRACION GRATUITA,PREDIOS QUE ADMINISTRA EL IPD A NIVEL NACIONAL,CLUB DEL PUEBLO CANTO GRANDE (*),EDIFICIO COMPLETO / OTRAS EDIFICACIONES COMPLETAS,AREA DEPORTIVA,CLUB DEL PUEBLO,AV. WISSE S/N-SECTOR 2 CIUDAD MARISCAL CACERES,6399.47 (12000),PARTIDA ELECTRONICA,12356197,SI,AFECTACION EN USO,,,,,,,,,,,,,,,,AV. BAYOVAR - AV. WISSE S/N-SECTOR 2 CIUDAD MARISCAL CACERES,CLUB DEL PUEBLO CANTO GRANDE,NO,LIMA METROPOLITANA,JUAN CARLOS CHINEN,ARQUITECTO,07UM,45.102,SIN ITSE,,,1000,"FUTBOL, ATLETISMO, BASKET, VOLEY, FUTSAL, TENIS DE CAMPO, NATACION","OPERATIVO, EN USO. CAMPOS DEPORTIVOS EN BUEN ESTADO. PISCINA EN BUEN ESTADO.",,"ZONAS ADMINISTRATIVAS, CAMERINOS Y BAÑOS EN ESTADO REGULAR",NO HAY DIAGNOSTICO,,NO HAY PROYECTO,-,-
150132,SAN JUAN DE LURIGANCHO,LIMA,LIMA,CLUB DEL PUEBLO CANTO GRANDE,INSTALACION DEPORTIVA Y/O RECREATIVA,PISCINA,PISCINA,"PISCINA OLIMPICA, PISCINA RECREATIVA",NATACION,SI,,"-76,98926011","-11,95603788",NO,NO,NO,NO,NO,NO,NO,ADECUADO,PISCINA EN BUEN ESTADO,"ZONAS ADMINISTRATIVAS, CAMERINOS Y BAÑOS EN ESTADO REGULAR",-,CON ADMINISTRACION GRATUITA,PREDIOS QUE ADMINISTRA EL IPD A NIVEL NACIONAL,CLUB DEL PUEBLO CANTO GRANDE (*),EDIFICIO COMPLETO / OTRAS EDIFICACIONES COMPLETAS,AREA DEPORTIVA,CLUB DEL PUEBLO,AV. WISSE Y AV. BAYOVAR,52118.08 (140782.18),PARTIDA ELECTRONICA,43160850,SI,AFECTACION EN USO,,,,,,,,,,,,,,,,AV. BAYOVAR - AV. WISSE S/N-SECTOR 2 CIUDAD MARISCAL CACERES,CLUB DEL PUEBLO CANTO GRANDE,NO,LIMA METROPOLITANA,JUAN CARLOS CHINEN,ARQUITECTO,07UM,45.102,SIN ITSE,,,1000,"FUTBOL, ATLETISMO, BASKET, VOLEY, FUTSAL, TENIS DE CAMPO, NATACION","OPERATIVO, EN USO. CAMPOS DEPORTIVOS EN BUEN ESTADO. PISCINA EN BUEN ESTADO.",,"ZONAS ADMINISTRATIVAS, CAMERINOS Y BAÑOS EN ESTADO REGULAR",NO HAY DIAGNOSTICO,,NO HAY PROYECTO,-,-
150132,SAN JUAN DE LURIGANCHO,LIMA,LIMA,CLUB DEL PUEBLO CANTO GRANDE,INSTALACION DEPORTIVA Y/O RECREATIVA,PISCINA,PISCINA,"PISCINA OLIMPICA, PISCINA RECREATIVA",NATACION,SI,,"-76,98926011","-11,95603788",NO,NO,NO,NO,NO,NO,NO,ADECUADO,PISCINA EN BUEN ESTADO,"ZONAS ADMINISTRATIVAS, CAMERINOS Y BAÑOS EN ESTADO REGULAR",-,CON ADMINISTRACION GRATUITA,PREDIOS QUE ADMINISTRA EL IPD A NIVEL NACIONAL,CLUB DEL PUEBLO CANTO GRANDE (*),EDIFICIO COMPLETO / OTRAS EDIFICACIONES COMPLETAS,AREA DEPORTIVA,CLUB DEL PUEBLO,AV. WISSE S/N-SECTOR 2 CIUDAD MARISCAL CACERES,6399.47 (12000),PARTIDA ELECTRONICA,12356197,SI,AFECTACION EN USO,,,,,,,,,,,,,,,,AV. BAYOVAR - AV. WISSE S/N-SECTOR 2 CIUDAD MARISCAL CACERES,CLUB DEL PUEBLO CANTO GRANDE,NO,LIMA METROPOLITANA,JUAN CARLOS CHINEN,ARQUITECTO,07UM,45.102,SIN ITSE,,,1000,"FUTBOL, ATLETISMO, BASKET, VOLEY, FUTSAL, TENIS DE CAMPO, NATACION","OPERATIVO, EN USO. CAMPOS DEPORTIVOS EN BUEN ESTADO. PISCINA EN BUEN ESTADO.",,"ZONAS ADMINISTRATIVAS, CAMERINOS Y BAÑOS EN ESTADO REGULAR",NO HAY DIAGNOSTICO,,NO HAY PROYECTO,-,-
150106,CARABAYLLO,LIMA,LIMA,MINI COMPLEJO DEPORTIVO SAN MARTIN - CARABAYLLO,INSTALACION DEPORTIVA Y/O RECREATIVA,COMPLEJO DEPORTIVO RECREATIVO,COMPLEJO DEPORTIVO RECREATIVO,"CAMPO MENOR DE FUTBOL, CAMPO MENOR DE BASQUETBOL, CAMPO MENOR DE VOLEIBOL","FUTBOL, BASQUETBOL, VOLEIBOL",SI,,"-77,01370534","-11,87153937",NO,SI,SI,NO,NO,NO,NO,INADECUADO,CAMPO DEPORTIVO EN BUEN ESTADO,CAMERINOS DESCUIDADOS,"SE OBSERVA QUE EL CERCO NOROESTE PRESENTA UN INICIO DE DESPLAZAMIENTO O VUELCO, EVIDENCIADO POR UNA LEVE INCLINACION EN UN TRAMO.",PROPIO,PREDIOS QUE ADMINISTRA EL IPD A NIVEL NACIONAL,MINICOMPLEJO DEPORTIVO SAN MARTIN - CARABAYLLO,EDIFICIO COMPLETO / OTRAS EDIFICACIONES COMPLETAS,AREA DEPORTIVA,MINICOMPLEJO,"AV. TUPAC AMARU S/N, M. CANDAMO ESTE, 1º CUADRA, EL PROGRESO, 3º SECTOR",901.633,PARTIDA ELECTRONICA,P01177278,SI,NO TIENE,,,,,,,,,,,,,,,,"M. CANDAMO ESTE, 1º CUADRA, EL PROGRESO, 3º SECTOR/AV. TUPAC AMARU S/N",MINI COMPLEJO DEPORTIVO SAN MARTÍN CARABAYLLO,NO,LIMA METROPOLITANA,JUAN CARLOS CHINEN,ARQUITECTO,07UM,1.500,SIN ITSE,,,200,"FUTBOL, BASKET, VOLEY, BOX","OPERATIVO, EN USO. CAMPO DEPORTIVO EN BUEN ESTADO. AREA DE BOX EN BUEN ESTADO.",FALTA MTTO. DE TEMAS ESTRUCTURALES Y DE RIESGO. FALTA MTTO. DE CAMERINOS.,"SE OBSERVA QUE EL CERCO NOROESTE PRESENTA UN INICIO DE DESPLAZAMIENTO O VUELCO, EVIDENCIADO POR UNA LEVE INCLINACION EN UN TRAMO.",NO HAY DIAGNOSTICO,,NO HAY PROYECTO,-,-
150106,CARABAYLLO,LIMA,LIMA,MINI COMPLEJO DEPORTIVO SAN MARTIN - CARABAYLLO,INSTALACION DEPORTIVA Y/O RECREATIVA,COMPLEJO DEPORTIVO RECREATIVO,Cargando...,SALA DE PRACTICA DEPORTIVA DE GIMNASIO,BOXEO,SI,,"-77,01370534","-11,87153937",NO,SI,SI,NO,NO,NO,NO,INADECUADO,AREA DE BOX EN BUEN ESTADO,CAMERINOS DESCUIDADOS,"SE OBSERVA QUE EL CERCO NOROESTE PRESENTA UN INICIO DE DESPLAZAMIENTO O VUELCO, EVIDENCIADO POR UNA LEVE INCLINACION EN UN TRAMO.",PROPIO,PREDIOS QUE ADMINISTRA EL IPD A NIVEL NACIONAL,MINICOMPLEJO DEPORTIVO SAN MARTIN - CARABAYLLO,EDIFICIO COMPLETO / OTRAS EDIFICACIONES COMPLETAS,AREA DEPORTIVA,MINICOMPLEJO,"AV. TUPAC AMARU S/N, M. CANDAMO ESTE, 1º CUADRA, EL PROGRESO, 3º SECTOR",901.633,PARTIDA ELECTRONICA,P01177278,SI,NO TIENE,,,,,,,,,,,,,,,,"M. CANDAMO ESTE, 1º CUADRA, EL PROGRESO, 3º SECTOR/AV. TUPAC AMARU S/N",MINI COMPLEJO DEPORTIVO SAN MARTÍN CARABAYLLO,NO,LIMA METROPOLITANA,JUAN CARLOS CHINEN,ARQUITECTO,07UM,1.500,SIN ITSE,,,200,"FUTBOL, BASKET, VOLEY, BOX","OPERATIVO, EN USO. CAMPO DEPORTIVO EN BUEN ESTADO. AREA DE BOX EN BUEN ESTADO.",FALTA MTTO. DE TEMAS ESTRUCTURALES Y DE RIESGO. FALTA MTTO. DE CAMERINOS.,"SE OBSERVA QUE EL CERCO NOROESTE PRESENTA UN INICIO DE DESPLAZAMIENTO O VUELCO, EVIDENCIADO POR UNA LEVE INCLINACION EN UN TRAMO.",NO HAY DIAGNOSTICO,,NO HAY PROYECTO,-,-
020701,SAN LUIS,LIMA,LIMA,VILLA DEPORTIVA NACIONAL - VIDENA,INSTALACION DEPORTIVA DE COMPETENCIA,ESTADIO DE ATLETISMO,ESTADIO DE ATLETISMO,"CAMPOS DE ATLETISMO, PISTAS DE ATLETISMO",ATLETISMO,SI,,"-77,001996","-12,081332",NO,NO,NO,NO,NO,NO,NO,ADECUADO,DESGASTE SIGNIFICATIVO EN PISTAS DE ATLETISMO,FALTA ESPACIOS DE ALMACENAMIENTO DE EQUIPAMIENTO DEPORTIVO,SE RECOMIENDA GESTIONAR LA CERTIFICACION DE LA PISTAS DE ATLETISMO,PROPIO,PREDIOS QUE ADMINISTRA EL IPD A NIVEL NACIONAL,VILLA DEPORTIVA NACIONAL (*)(******),EDIFICIO COMPLETO / OTRAS EDIFICACIONES COMPLETAS,AREA DEPORTIVA,VILLA DEPORTIVA,AV. DEL AIRE S/N,223864.89,PARTIDA ELECTRONICA,12016924,SI,PATRIMONIO CULTURAL/CORRELACION DE SERVIDUMBRE-PREDIO SIRVIENTE,,,,,,,,,,,,,,,,AV. DEL AIRE S/N CDRA. 9,VILLA DEPORTIVA NACIONAL - VIDENA,NO,TRANSFERIDAS,ALESSANDRA LOPEZ,INGENIERA CIVIL,02UM,,SIN ITSE,,,,,,,,NO HAY DIAGNOSTICO,,NO HAY PROYECTO,,
020701,SAN LUIS,LIMA,LIMA,VILLA DEPORTIVA NACIONAL - VIDENA,INSTALACION DEPORTIVA DE COMPETENCIA,VELODROMO,VELODROMO,VELODROMO (01),CICLISMO,SI,,"-77,001996","-12,081332",NO,NO,NO,NO,NO,NO,NO,ADECUADO,_,_,_,PROPIO,PREDIOS QUE ADMINISTRA EL IPD A NIVEL NACIONAL,VILLA DEPORTIVA NACIONAL (*)(******),EDIFICIO COMPLETO / OTRAS EDIFICACIONES COMPLETAS,AREA DEPORTIVA,VILLA DEPORTIVA,AV. DEL AIRE S/N,223864.89,PARTIDA ELECTRONICA,12016924,SI,PATRIMONIO CULTURAL/CORRELACION DE SERVIDUMBRE-PREDIO SIRVIENTE,,,,,,,,,,,,,,,,AV. DEL AIRE S/N CDRA. 9,VILLA DEPORTIVA NACIONAL - VIDENA,NO,TRANSFERIDAS,ALESSANDRA LOPEZ,INGENIERA CIVIL,02UM,,SIN ITSE,,,,,,,,NO HAY DIAGNOSTICO,,NO HAY PROYECTO,,
020701,SAN LUIS,LIMA,LIMA,VILLA DEPORTIVA NACIONAL - VIDENA,INSTALACION DEPORTIVA DE COMPETENCIA,CENTRO ACUATICO,CENTRO ACUATICO,PISCINAS OLIMPICAS,"NATACION, NADO SINCRONIZADO, CLAVADOS",SI,,"-77,001996","-12,081332",NO,NO,NO,NO,NO,NO,NO,ADECUADO,_,_,_,PROPIO,PREDIOS QUE ADMINISTRA EL IPD A NIVEL NACIONAL,VILLA DEPORTIVA NACIONAL (*)(******),EDIFICIO COMPLETO / OTRAS EDIFICACIONES COMPLETAS,AREA DEPORTIVA,VILLA DEPORTIVA,AV. DEL AIRE S/N,223864.89,PARTIDA ELECTRONICA,12016924,SI,PATRIMONIO CULTURAL/CORRELACION DE SERVIDUMBRE-PREDIO SIRVIENTE,,,,,,,,,,,,,,,,AV. DEL AIRE S/N CDRA. 9,VILLA DEPORTIVA NACIONAL - VIDENA,NO,TRANSFERIDAS,ALESSANDRA LOPEZ,INGENIERA CIVIL,02UM,,SIN ITSE,,,,,,,,NO HAY DIAGNOSTICO,,NO HAY PROYECTO,,
020701,SAN LUIS,LIMA,LIMA,VILLA DEPORTIVA NACIONAL - VIDENA,INSTALACION DEPORTIVA DE COMPETENCIA,CENTRO DE BOWLING,ESCENARIO DE BOWLING,PISTA DE BOWLING,BOWLING,SI,,"-77,001996","-12,081332",NO,NO,NO,NO,NO,NO,NO,ADECUADO,SE TIENE 04 PISTAS INOPERATIVAS POR AVERIA EN CONTROLADORES (CHASIS),_,REQUIERE COMPRA DE REPUETOS PARA SU MANTENIMIENTO,PROPIO,PREDIOS QUE ADMINISTRA EL IPD A NIVEL NACIONAL,VILLA DEPORTIVA NACIONAL (*)(******),EDIFICIO COMPLETO / OTRAS EDIFICACIONES COMPLETAS,AREA DEPORTIVA,VILLA DEPORTIVA,AV. DEL AIRE S/N,223864.89,PARTIDA ELECTRONICA,12016924,SI,PATRIMONIO CULTURAL/CORRELACION DE SERVIDUMBRE-PREDIO SIRVIENTE,,,,,,,,,,,,,,,,AV. DEL AIRE S/N CDRA. 9,VILLA DEPORTIVA NACIONAL - VIDENA,NO,TRANSFERIDAS,ALESSANDRA LOPEZ,INGENIERA CIVIL,02UM,,SIN ITSE,,,,,,,,NO HAY DIAGNOSTICO,,NO HAY PROYECTO,,
020701,SAN LUIS,LIMA,LIMA,VILLA DEPORTIVA NACIONAL - VIDENA,INSTALACION DEPORTIVA DE COMPETENCIA,POLIDEPORTIVO DE COMPETENCIA,POLIDERPORTIVO 1,"SALAS DE PRACTICA DEPORTIVA DE HANDBALL, BASQUETBOL, GIMNASIA","POLIDEPORTIVO 1: HANDBALL, BASQUETBOL, GIMNASIA",SI,,"-77,001996","-12,081332",NO,NO,NO,NO,NO,NO,NO,ADECUADO,REQUIERE MANTENIMIENTO CORRECTIVO AL PISO DE MADERA,REQUIERE MANTENIMIENTO CORRECTIVO A LAS TRIBUNAS RETRÁCTILES,ESPACIOS DEPORTIVOS PARA DESARROLLO DE MULTIPLES DISCIPLINAS DEPORTIVAS,PROPIO,PREDIOS QUE ADMINISTRA EL IPD A NIVEL NACIONAL,VILLA DEPORTIVA NACIONAL (*)(******),EDIFICIO COMPLETO / OTRAS EDIFICACIONES COMPLETAS,AREA DEPORTIVA,VILLA DEPORTIVA,AV. DEL AIRE S/N,223864.89,PARTIDA ELECTRONICA,12016924,SI,PATRIMONIO CULTURAL/CORRELACION DE SERVIDUMBRE-PREDIO SIRVIENTE,,,,,,,,,,,,,,,,AV. DEL AIRE S/N CDRA. 9,VILLA DEPORTIVA NACIONAL - VIDENA,NO,TRANSFERIDAS,ALESSANDRA LOPEZ,INGENIERA CIVIL,02UM,,SIN ITSE,,,,,,,,NO HAY DIAGNOSTICO,,NO HAY PROYECTO,,
020701,SAN LUIS,LIMA,LIMA,VILLA DEPORTIVA NACIONAL - VIDENA,INSTALACION DEPORTIVA DE COMPETENCIA,POLIDEPORTIVO DE COMPETENCIA,POLIDERPORTIVO 2,"SALAS DE PRACTICA DEPORTIVA DE KARATE, JUDO, TAE KWON DO, BOWLING, TIRO, LEVANTAMIENTO DE PESAS, LUCHA AMATEUR, ESGRIMA, TENIS DE MESA, BADMINTON","POLIDEPORTIVO 2: KARATE, JUDO, TAE KWON DO, BOWLING, TIRO, LEVANTAMIENTO DE PESAS, LUCHA AMATEUR, ESGRIMA, TENIS DE MESA, BADMINTON",SI,,"-77,001996","-12,081332",NO,NO,NO,NO,NO,NO,NO,ADECUADO,REQUIERE MANTENIMIENTO CORRECTIVO AL PISO DE MADERA DEL CAMPO DE BADMINTON,REQUIERE MANTENIMIENTO CORRECTIVO A LAS TRIBUNAS RETRÁCTILES DEL CAMPO DE BADMINTON,ESPACIOS DEPORTIVOS PARA DESARROLLO DE MULTIPLES DISCIPLINAS DEPORTIVAS,PROPIO,PREDIOS QUE ADMINISTRA EL IPD A NIVEL NACIONAL,VILLA DEPORTIVA NACIONAL (*)(******),EDIFICIO COMPLETO / OTRAS EDIFICACIONES COMPLETAS,AREA DEPORTIVA,VILLA DEPORTIVA,AV. DEL AIRE S/N,223864.89,PARTIDA ELECTRONICA,12016924,SI,PATRIMONIO CULTURAL/CORRELACION DE SERVIDUMBRE-PREDIO SIRVIENTE,,,,,,,,,,,,,,,,AV. DEL AIRE S/N CDRA. 9,VILLA DEPORTIVA NACIONAL - VIDENA,NO,TRANSFERIDAS,ALESSANDRA LOPEZ,INGENIERA CIVIL,02UM,,SIN ITSE,,,,,,,,NO HAY DIAGNOSTICO,,NO HAY PROYECTO,,
